Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events,1948,0,310,348.1310233573393,41.139999997540144,2289.8498000031395,66721.3952772074,16.29805541309268,0.0,310,360,390,410,500,600,840,1300,2300,2300,2300
GET,GET /health,1968,0,270,321.63423363824177,6.66800000180956,2215.0920999993104,16.0,16.465386577498148,0.0,270,320,350,380,510,740,1000,1500,2200,2200,2200
GET,GET /r/:shortcode,1952,0,250,276.23418652663526,10.152699996979209,2015.5524000001606,314.6280737704918,16.331521645973773,0.0,250,290,320,340,410,500,690,880,1500,2000,2000
GET,GET /users,1965,0,260,294.4318315012504,8.532600000762613,2199.1957999998704,2645.0,16.440286902837325,0.0,260,290,330,350,440,580,930,1300,2200,2200,2200
GET,GET /users/:id,1961,0,270,305.00310525245084,13.870299997506663,2193.0752000007487,269.51963284038754,16.406820669956232,0.0,270,310,350,370,460,540,920,1300,2200,2200,2200
PATCH,PATCH /users/:id,1958,0,320,443.0214095505773,29.729699999734294,3544.967200003157,269.4438202247191,16.381720995295414,0.0,320,400,500,570,890,1200,1600,1900,3400,3500,3500
POST,POST /events,50,0,120,215.52113600038865,30.496000003040535,892.4044000013964,211.0,0.41832791101367245,0.0,120,250,300,350,540,670,890,890,890,890,890
POST,POST /urls,50,0,84,137.22226799989585,19.738899998628767,594.2165000014938,311.82,0.41832791101367245,0.0,85,190,200,210,220,310,590,590,590,590,590
POST,POST /users,50,0,130,189.73284799991234,24.512200001481688,1071.6417000003275,272.46,0.41832791101367245,0.0,130,170,180,210,280,1100,1100,1100,1100,1100,1100
,Aggregated,11902,0,280,329.4886496555365,6.66800000180956,3544.967200003157,11503.294236262813,99.57877593769459,0.0,280,320,360,390,510,710,1100,1300,2400,3400,3500
