Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events,11388,0,420,530.0628118357881,78.92987499872106,9278.346875000352,78940.47312961011,95.44604767654651,0.0,420,540,640,700,930,1200,1600,2000,3800,9200,9300
GET,GET /health,11472,0,52,75.57941079200795,17.99741700051527,2128.244375000577,16.0,96.15007542547784,0.0,52,62,69,76,110,290,340,380,660,2100,2100
GET,GET /r/:shortcode,11435,0,60,79.57268686662186,25.479750000158674,4104.956957999093,315.852470485352,95.83996796463903,0.0,60,69,77,83,110,280,340,370,700,2200,4100
GET,GET /users,11458,0,59,78.15674993804501,25.38749999985157,2211.4784170007624,2636.026182579857,96.0327374673226,0.0,59,68,77,83,110,200,320,410,960,1900,2200
GET,GET /users/:id,11450,0,58,76.75957287013898,25.488125000265427,1247.4664580004173,271.33152838427947,95.96568720551963,0.0,58,67,74,80,110,280,330,370,660,1200,1200
PATCH,PATCH /users/:id,11439,0,69,88.26243550843083,30.149374999382417,2168.395375001637,271.2785208497246,95.87349309554052,0.0,69,79,88,95,120,290,340,370,640,1100,2200
POST,POST /events,200,0,49,57.59765501511538,32.525833001272986,289.85279200060177,211.0,1.6762565450745786,0.0,49,54,59,62,95,110,120,290,290,290,290
POST,POST /urls,200,0,54,56.774597920057204,30.184167000697926,131.66345799982082,312.46,1.6762565450745786,0.0,54,59,62,64,82,92,98,98,130,130,130
POST,POST /users,200,0,110,115.51123729500432,66.11379200148804,229.22024999934365,274.38,1.6762565450745786,0.0,110,120,120,130,160,230,230,230,230,230,230
,Aggregated,69242,0,65,153.71225302694705,17.99741700051527,9278.346875000352,13566.07969151671,580.3367784702699,0.0,65,83,110,210,390,580,880,1100,2300,4400,9300
