Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events,37288,0,22,23.324675541717795,6.956400000490248,387.73589999982505,34401.791514696415,124.5379753130541,0.0,22,25,27,28,33,39,48,55,94,260,390
GET,GET /health,37303,0,6,7.142617623267288,2.563999998528743,396.14349999828846,16.0,124.58807372620836,0.0,6,7,8,8,10,13,17,20,53,320,400
GET,GET /r/:shortcode,37295,0,9,10.313628116361915,4.0246999997179955,366.7669000024034,315.62710819144655,124.56135457252608,0.0,9,10,11,12,15,18,22,26,74,270,370
GET,GET /users,37302,0,10,10.87853177577138,4.39130000086152,278.34660000007716,2620.7489678837596,124.58473383199808,0.0,10,11,12,13,15,18,23,27,74,250,280
GET,GET /users/:id,37300,0,9,10.183936806966768,4.111800000828225,338.1792000000132,270.3323860589812,124.57805404357751,0.0,9,10,11,12,15,18,22,26,64,270,340
PATCH,PATCH /users/:id,37295,0,12,12.896232835495853,5.220200000621844,407.7006000006804,270.31594047459447,124.56135457252608,0.0,12,13,14,15,18,22,27,32,73,260,410
POST,POST /events,200,0,12,13.078833499985194,7.759099997201702,38.89350000099512,210.02,0.6679788420567159,0.0,12,13,15,15,18,22,25,38,39,39,39
POST,POST /urls,200,0,9,9.887441000264516,5.406100000982406,26.022599999123486,311.48,0.6679788420567159,0.0,9,10,11,11,14,16,21,26,26,26,26
POST,POST /users,200,0,11,12.46750800000882,7.676199998968514,59.28239999775542,273.89,0.6679788420567159,0.0,11,12,13,14,16,19,32,39,59,59,59
,Aggregated,224383,0,10,12.45424975465871,2.563999998528743,407.7006000006804,6298.272373575538,749.4154825860604,0.0,10,12,14,16,22,27,34,40,80,270,410
