Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /users/:id,484,0,1100,1119.1525822311426,588.1544999938342,1730.5328000002191,40.0,0.8045292958926856,0.0,1100,1200,1400,1400,1600,1700,1700,1700,1700,1700,1700
GET,GET /events,115165,0,85,124.93439082881858,7.574199997179676,2621.9150999968406,74157.73591803065,191.43309165595278,0.0,85,130,160,190,270,360,480,580,1300,2100,2600
GET,GET /health,115391,0,17,40.620547086854835,2.151599997887388,2262.1998000031454,16.0,191.80876029411755,0.0,17,33,48,60,100,150,220,280,1000,2000,2300
GET,GET /r/:shortcode,115165,0,37,65.42988990058926,3.920700000890065,2307.039599996642,316.30220118959755,191.43309165595278,0.0,37,58,77,92,150,210,320,430,1200,2000,2300
GET,GET /users,115390,0,22,45.834610530367925,3.854899994621519,2374.5890999998664,2616.737958228616,191.8070980435062,0.0,22,40,56,69,110,150,220,280,1000,2000,2400
GET,GET /users/:id,115389,0,20,40.39797074417522,3.478200000245124,2458.2927000010386,271.6155092773141,191.80543579289483,0.0,20,35,49,60,95,130,190,240,1000,1800,2500
PATCH,PATCH /users/:id,115165,0,92,197.94991378718757,7.574999995995313,13652.633099998638,271.6014240437633,191.43309165595278,0.0,92,160,220,270,440,650,1000,1500,5500,10000,14000
POST,POST /events,500,0,54,112.42336519992386,9.153500002867077,1129.603400004271,210.568,0.831125305674262,0.0,55,97,140,180,290,380,570,760,1100,1100,1100
POST,POST /urls,500,0,49,286.3245097996696,7.95069999730913,6308.566100000462,312.354,0.831125305674262,0.0,49,88,140,210,440,1900,3100,6200,6300,6300,6300
POST,POST /users,502,2,65,615.4122691237225,8.814799999527168,21055.42389999755,274.04581673306774,0.834449806896959,0.003324501222697048,65,130,240,300,1000,2900,7900,11000,21000,21000,21000
,Aggregated,693651,2,38,87.0866871987526,2.151599997887388,21055.42389999755,12893.563277498339,1153.021798812515,0.003324501222697048,38,67,94,120,200,300,500,700,2400,9600,21000
