Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events,111329,3,56,102.07586393662035,5.316100003255997,8042.569600002025,75429.82310988152,185.576667709837,0.005000763530881541,56,91,120,150,240,340,500,630,1400,7400,8000
GET,GET /health,111369,9,12,28.58167705195683,2.2213999982341193,7900.49920000456,16.020122296150635,185.64334455691545,0.015002290592644622,12,21,30,36,60,87,130,170,810,7200,7900
GET,GET /r/:shortcode,111335,2,48,78.16066273588952,3.4816000043065287,7967.902899996261,316.301082319127,185.58666923689879,0.003333842353921027,48,70,90,110,160,240,380,480,1000,7100,8000
GET,GET /users,111355,4,30,55.08586101566104,3.0740000001969747,8070.441199997731,2616.5368595931927,185.620007660438,0.006667684707842054,30,48,64,75,110,160,260,360,1000,7400,8100
GET,GET /users/:id,111345,5,34,61.43912665678893,4.670099995564669,7941.582200000994,271.6171718532489,185.60333844866838,0.008334605884802568,34,53,70,82,120,180,300,420,1100,7300,7900
PATCH,PATCH /users/:id,111340,1,62,244.63334566553067,7.939100003568456,16037.740699997812,271.6039518591701,185.5950038427836,0.0016669211769605135,62,110,170,220,440,720,1700,3500,15000,16000,16000
POST,POST /events,500,0,34,96.99289300017699,9.012399998027831,7051.03109999618,210.568,0.8334605884802568,0.0,34,60,96,110,180,300,480,660,7100,7100,7100
POST,POST /urls,500,0,31,102.20875880017411,8.323499998368789,6802.34520000522,312.352,0.8334605884802568,0.0,31,60,100,120,230,330,630,980,6800,6800,6800
POST,POST /users,500,0,39,717.7707493999769,10.1788999963901,15576.233899999352,275.136,0.8334605884802568,0.0,40,83,170,270,1700,5200,9600,12000,16000,16000,16000
,Aggregated,669573,24,37,95.464008482269,2.2213999982341193,16037.740699997812,13122.95058343153,1116.125413220982,0.04000610824705233,37,61,82,100,180,290,520,770,6600,15000,16000
