id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-05-28 04:57:21,"{""short_code"":""CKVfY9"",""original_url"":""https://relay.cloud/quiet/harvest/1""}"
2,2,320,created,2025-08-10 21:45:04,"{""short_code"":""SGZeEj"",""original_url"":""https://seeded.app/cobalt/lagoon/2""}"
3,3,112,created,2025-12-28 13:53:37,"{""short_code"":""2KPfnF"",""original_url"":""https://relay.cloud/mellow/uplink/3""}"
4,4,36,created,2025-02-28 00:40:20,"{""short_code"":""rf9ngM"",""original_url"":""https://relay.cloud/young/uplink/4""}"
5,5,42,created,2025-11-14 23:46:46,"{""short_code"":""wkEVxn"",""original_url"":""https://hackstack.io/young/lagoon/5""}"
6,6,70,created,2025-03-07 22:18:40,"{""short_code"":""5Oc9FT"",""original_url"":""https://acme.dev/cobalt/yard/6""}"
7,7,166,created,2025-06-17 15:32:44,"{""short_code"":""9fd2H7"",""original_url"":""https://hackstack.io/mellow/harvest/7""}"
8,8,243,created,2025-01-09 09:20:59,"{""short_code"":""D74HNW"",""original_url"":""https://opswise.net/vivid/orbit/8""}"
9,9,161,created,2025-07-18 17:29:48,"{""short_code"":""SkiYp1"",""original_url"":""https://relay.cloud/harbor/yard/9""}"
10,10,134,created,2025-07-19 02:56:57,"{""short_code"":""zyCkrx"",""original_url"":""https://relay.cloud/proud/delta/10""}"
11,11,150,created,2026-01-28 05:50:19,"{""short_code"":""sw1GbU"",""original_url"":""https://seeded.app/mellow/orbit/11""}"
12,12,388,created,2025-05-03 02:59:35,"{""short_code"":""7XlNS7"",""original_url"":""https://seeded.app/tidy/trail/12""}"
13,13,337,created,2025-04-08 07:52:47,"{""short_code"":""dLRUQK"",""original_url"":""https://seeded.app/navy/yard/13""}"
14,14,200,created,2025-04-27 03:40:08,"{""short_code"":""6kxCWJ"",""original_url"":""https://acme.dev/calm/anchor/14""}"
15,15,209,created,2025-03-12 18:17:34,"{""short_code"":""IOGvD0"",""original_url"":""https://seeded.app/dawn/anchor/15""}"
